,location,date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE
281,БЕОГРАД - НОВИ БЕОГРАД,2016-02-18,5,0,0,0,1,0,0,0,0,0,34,0,29,0,0,0,0,0,0,117,0,0,0,0,24,0
282,БЕОГРАД - НОВИ БЕОГРАД,2016-02-19,0,1,0,0,0,0,0,0,0,2,2,0,8,0,0,0,0,0,0,51,0,0,0,0,54,0
283,БЕОГРАД - НОВИ БЕОГРАД,2016-02-20,1,6,0,0,0,0,0,0,0,4,2,0,1,0,0,1,0,0,0,36,0,0,0,0,59,0
284,БЕОГРАД - НОВИ БЕОГРАД,2016-02-21,17,7,0,0,0,0,0,0,0,10,57,0,2,0,0,0,0,0,0,160,0,0,3,0,141,0
285,БЕОГРАД - НОВИ БЕОГРАД,2016-02-22,2,0,0,0,0,0,4,0,0,4,134,0,0,0,0,2,0,0,0,115,0,0,4,0,41,0
286,БЕОГРАД - НОВИ БЕОГРАД,2016-02-23,1,0,0,0,0,0,2,0,0,2,43,0,3,0,0,1,0,0,0,87,0,0,2,0,28,0
287,БЕОГРАД - НОВИ БЕОГРАД,2016-02-24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
288,БЕОГРАД - НОВИ БЕОГРАД,2016-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
289,БЕОГРАД - НОВИ БЕОГРАД,2016-02-26,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
290,БЕОГРАД - НОВИ БЕОГРАД,2016-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
291,БЕОГРАД - НОВИ БЕОГРАД,2016-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
292,БЕОГРАД - НОВИ БЕОГРАД,2016-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
293,БЕОГРАД - НОВИ БЕОГРАД,2016-03-01,6,0,0,0,2,0,0,0,0,0,6,0,1,0,0,0,0,0,0,16,0,0,5,0,5,0
294,БЕОГРАД - НОВИ БЕОГРАД,2016-03-02,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,4,0
295,БЕОГРАД - НОВИ БЕОГРАД,2016-03-03,26,0,0,0,1,0,7,0,0,0,4,0,3,0,0,0,0,0,0,31,2,0,4,0,2,0
296,БЕОГРАД - НОВИ БЕОГРАД,2016-03-04,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0
297,БЕОГРАД - НОВИ БЕОГРАД,2016-03-05,52,0,0,0,0,0,23,0,0,0,15,0,8,0,0,0,0,0,0,62,2,0,3,0,3,0
298,БЕОГРАД - НОВИ БЕОГРАД,2016-03-06,63,0,0,0,0,0,9,0,0,0,20,0,1,0,0,0,0,0,0,49,0,0,0,0,1,0
299,БЕОГРАД - НОВИ БЕОГРАД,2016-03-07,76,0,0,0,4,0,19,0,0,0,4,0,4,0,0,0,0,0,0,57,0,0,5,0,0,0
300,БЕОГРАД - НОВИ БЕОГРАД,2016-03-08,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0
301,БЕОГРАД - НОВИ БЕОГРАД,2016-03-09,13,0,0,0,0,0,8,0,0,0,3,0,2,0,0,0,0,0,0,16,0,0,3,0,0,0
302,БЕОГРАД - НОВИ БЕОГРАД,2016-03-10,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
303,БЕОГРАД - НОВИ БЕОГРАД,2016-03-11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
304,БЕОГРАД - НОВИ БЕОГРАД,2016-03-12,47,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,43,0,0,0,0,1,0
305,БЕОГРАД - НОВИ БЕОГРАД,2016-03-13,25,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,2,0,1,0
306,БЕОГРАД - НОВИ БЕОГРАД,2016-03-14,40,0,0,0,6,0,14,0,0,0,3,0,3,0,0,0,0,0,0,17,0,0,7,0,0,0
307,БЕОГРАД - НОВИ БЕОГРАД,2016-03-15,6,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
308,БЕОГРАД - НОВИ БЕОГРАД,2016-03-16,24,0,0,0,2,0,9,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0
309,БЕОГРАД - НОВИ БЕОГРАД,2016-03-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0
310,БЕОГРАД - НОВИ БЕОГРАД,2016-03-18,6,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0
311,БЕОГРАД - НОВИ БЕОГРАД,2016-03-19,17,0,0,0,8,0,23,0,0,1,15,0,1,0,0,0,0,0,0,11,0,0,6,0,18,0
312,БЕОГРАД - НОВИ БЕОГРАД,2016-03-20,19,0,0,0,11,0,45,0,0,5,19,0,0,0,0,0,0,0,0,6,0,0,16,0,1,0
313,БЕОГРАД - НОВИ БЕОГРАД,2016-03-21,36,0,0,0,10,0,34,0,0,0,55,0,4,0,0,0,0,0,0,6,0,0,10,0,6,0
314,БЕОГРАД - НОВИ БЕОГРАД,2016-03-22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,БЕОГРАД - НОВИ БЕОГРАД,2016-03-23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
316,БЕОГРАД - НОВИ БЕОГРАД,2016-03-24,49,0,0,0,9,0,21,0,0,0,1,0,3,0,0,0,0,0,0,6,0,0,7,0,3,0
317,БЕОГРАД - НОВИ БЕОГРАД,2016-03-25,26,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,2,0
318,БЕОГРАД - НОВИ БЕОГРАД,2016-03-26,14,2,0,0,5,0,12,0,0,23,1,0,3,0,0,0,0,0,0,2,0,0,4,0,0,0
319,БЕОГРАД - НОВИ БЕОГРАД,2016-03-27,9,1,0,0,16,0,19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0
320,БЕОГРАД - НОВИ БЕОГРАД,2016-03-28,13,0,0,0,25,0,26,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0
321,БЕОГРАД - НОВИ БЕОГРАД,2016-03-29,26,0,0,0,45,0,258,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0
322,БЕОГРАД - НОВИ БЕОГРАД,2016-03-30,19,0,0,0,58,0,201,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,1,0
323,БЕОГРАД - НОВИ БЕОГРАД,2016-03-31,68,0,0,0,110,0,259,0,0,0,25,0,80,0,0,0,0,0,1,0,89,0,90,0,0,0
324,БЕОГРАД - НОВИ БЕОГРАД,2016-04-01,133,0,0,0,169,0,295,0,0,0,35,0,251,0,0,0,0,0,0,0,201,0,156,0,0,0
325,БЕОГРАД - НОВИ БЕОГРАД,2016-04-02,176,0,0,0,296,0,410,0,0,0,32,0,280,4,0,0,0,0,1,3,276,0,343,0,1,0
326,БЕОГРАД - НОВИ БЕОГРАД,2016-04-03,137,0,0,0,189,0,394,0,0,0,0,0,132,8,0,0,0,0,0,0,102,0,103,0,0,0
327,БЕОГРАД - НОВИ БЕОГРАД,2016-04-04,258,0,0,0,176,0,245,0,0,0,6,0,79,0,0,0,0,2,0,0,13,0,15,0,2,0
328,БЕОГРАД - НОВИ БЕОГРАД,2016-04-05,134,0,0,0,70,0,192,0,0,0,5,6,31,0,21,1,0,2,0,2,216,0,3,0,0,0
329,БЕОГРАД - НОВИ БЕОГРАД,2016-04-06,119,0,0,0,57,0,199,0,0,0,0,1,10,0,31,0,0,9,0,0,325,0,0,0,0,0
330,БЕОГРАД - НОВИ БЕОГРАД,2016-04-07,107,0,0,0,109,0,186,0,0,0,7,13,87,58,68,0,0,100,0,2,276,0,162,0,0,0
331,БЕОГРАД - НОВИ БЕОГРАД,2016-04-08,133,0,0,0,69,0,142,0,0,0,45,6,88,16,43,0,0,51,1,0,160,0,226,0,0,0
332,БЕОГРАД - НОВИ БЕОГРАД,2016-04-09,32,0,0,0,33,0,34,0,0,0,26,1,19,1,11,0,0,10,0,0,19,0,51,0,0,2
333,БЕОГРАД - НОВИ БЕОГРАД,2016-04-10,6,0,0,0,3,0,5,0,0,0,0,6,25,0,19,0,0,55,0,0,13,0,7,0,0,4
334,БЕОГРАД - НОВИ БЕОГРАД,2016-04-11,34,0,0,0,11,0,43,0,0,0,12,5,38,5,29,0,0,23,2,0,54,0,44,0,1,1
335,БЕОГРАД - НОВИ БЕОГРАД,2016-04-12,10,0,0,0,60,0,13,0,0,0,19,2,1,34,36,3,0,22,1,0,52,0,29,0,0,15
336,БЕОГРАД - НОВИ БЕОГРАД,2016-04-13,105,0,0,0,145,0,89,0,0,0,1,7,1,28,107,0,0,22,1,0,140,0,4,0,0,8
337,БЕОГРАД - НОВИ БЕОГРАД,2016-04-14,172,0,0,0,95,0,207,0,0,0,0,5,16,9,71,0,0,0,0,0,42,0,6,0,0,0
338,БЕОГРАД - НОВИ БЕОГРАД,2016-04-15,13,0,0,0,26,0,4,0,0,0,0,3,7,8,33,0,0,9,0,0,6,0,14,0,0,5
339,БЕОГРАД - НОВИ БЕОГРАД,2016-04-16,1,0,0,0,67,0,19,0,0,0,4,13,5,31,52,0,0,10,4,0,63,0,16,0,0,43
340,БЕОГРАД - НОВИ БЕОГРАД,2016-04-17,6,0,0,0,101,0,18,0,0,0,0,36,3,15,243,2,0,14,9,0,50,0,19,0,0,28
341,БЕОГРАД - НОВИ БЕОГРАД,2016-04-18,1,0,0,0,47,0,4,0,0,0,5,0,1,16,0,5,0,1,2,0,26,0,4,0,0,19
342,БЕОГРАД - НОВИ БЕОГРАД,2016-04-19,0,0,0,0,20,0,6,0,0,0,4,0,1,16,0,3,0,17,3,0,0,0,13,0,0,8
343,БЕОГРАД - НОВИ БЕОГРАД,2016-04-20,0,0,0,0,145,0,3,0,0,0,1,4,0,14,19,29,0,17,0,0,7,0,15,0,0,28
344,БЕОГРАД - НОВИ БЕОГРАД,2016-04-21,0,0,0,0,25,0,4,0,0,0,1,0,0,1,8,4,0,6,0,0,1,0,5,1,0,3
345,БЕОГРАД - НОВИ БЕОГРАД,2016-04-22,0,0,0,0,24,5,15,0,0,0,1,1,0,2,10,2,0,5,0,0,0,0,1,0,0,28
346,БЕОГРАД - НОВИ БЕОГРАД,2016-04-23,9,0,0,0,41,7,37,0,0,0,2,4,0,2,31,0,0,0,3,0,2,0,3,0,0,0
347,БЕОГРАД - НОВИ БЕОГРАД,2016-04-24,6,0,0,0,13,1,4,0,0,0,6,4,0,2,10,0,0,0,3,0,0,0,0,1,0,0
348,БЕОГРАД - НОВИ БЕОГРАД,2016-04-25,2,0,0,0,2,0,6,0,0,0,0,1,0,2,1,0,0,0,0,0,2,0,0,0,0,0
349,БЕОГРАД - НОВИ БЕОГРАД,2016-04-26,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,2,0,1,0,0,0
350,БЕОГРАД - НОВИ БЕОГРАД,2016-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
351,БЕОГРАД - НОВИ БЕОГРАД,2016-04-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4
352,БЕОГРАД - НОВИ БЕОГРАД,2016-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
353,БЕОГРАД - НОВИ БЕОГРАД,2016-04-30,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
354,БЕОГРАД - НОВИ БЕОГРАД,2016-05-01,2,0,0,0,5,0,4,0,0,0,3,0,2,5,2,9,0,5,0,0,3,0,6,0,0,0
355,БЕОГРАД - НОВИ БЕОГРАД,2016-05-02,0,0,0,0,3,0,1,0,0,0,1,1,0,3,8,1,0,4,6,0,1,0,2,0,0,2
356,БЕОГРАД - НОВИ БЕОГРАД,2016-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
357,БЕОГРАД - НОВИ БЕОГРАД,2016-05-04,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0
358,БЕОГРАД - НОВИ БЕОГРАД,2016-05-05,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,11,1,0,29,0,0,0,2,0,0,6
359,БЕОГРАД - НОВИ БЕОГРАД,2016-05-06,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,9,0,0,41,0,0,0,6,0,0,4
360,БЕОГРАД - НОВИ БЕОГРАД,2016-05-07,0,0,0,0,129,1,0,0,0,0,0,1,0,1,0,2,0,0,31,0,2,0,2,0,0,4
361,БЕОГРАД - НОВИ БЕОГРАД,2016-05-08,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,2,0,0,26,0,0,0,0,0,0,1
362,БЕОГРАД - НОВИ БЕОГРАД,2016-05-09,1,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
363,БЕОГРАД - НОВИ БЕОГРАД,2016-05-10,0,0,0,0,1,2,0,0,0,0,0,0,0,4,2,0,0,0,6,0,0,1,0,0,0,2
364,БЕОГРАД - НОВИ БЕОГРАД,2016-05-11,0,0,0,0,2,6,0,0,0,0,0,0,0,1,3,2,0,0,11,0,0,2,1,0,0,17
365,БЕОГРАД - НОВИ БЕОГРАД,2016-05-12,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,1
366,БЕОГРАД - НОВИ БЕОГРАД,2016-05-13,0,0,0,0,1,5,0,0,0,0,0,1,0,0,1,23,0,0,23,0,0,2,2,0,0,17
367,БЕОГРАД - НОВИ БЕОГРАД,2016-05-14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,12,0,0,10,0,1,3,0,0,0,0
368,БЕОГРАД - НОВИ БЕОГРАД,2016-05-15,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,20,0,0,1,0,0,1,4,1,0,19
369,БЕОГРАД - НОВИ БЕОГРАД,2016-05-16,6,0,0,0,2,0,0,0,0,0,1,0,0,3,3,1,0,0,5,0,4,0,0,1,0,6
370,БЕОГРАД - НОВИ БЕОГРАД,2016-05-17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2
371,БЕОГРАД - НОВИ БЕОГРАД,2016-05-18,0,0,0,0,4,0,1,0,0,0,1,1,0,0,0,4,1,0,24,0,6,0,3,0,0,6
372,БЕОГРАД - НОВИ БЕОГРАД,2016-05-19,2,0,0,0,2,1,1,0,0,0,1,0,0,1,0,6,0,0,62,0,4,0,1,0,0,18
373,БЕОГРАД - НОВИ БЕОГРАД,2016-05-20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,1,0,43,0,0,0,0,1,0,14
374,БЕОГРАД - НОВИ БЕОГРАД,2016-05-21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12,0,0,52,0,0,1,0,1,0,32
375,БЕОГРАД - НОВИ БЕОГРАД,2016-05-22,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,1,0,82,0,0,6,0,4,0,41
376,БЕОГРАД - НОВИ БЕОГРАД,2016-05-23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14,2,0,65,0,0,4,0,1,0,56
377,БЕОГРАД - НОВИ БЕОГРАД,2016-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,63,0,0,5,0,21,0,33
378,БЕОГРАД - НОВИ БЕОГРАД,2016-05-25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,43,1,0,6,0,0,1,0,7,0,16
379,БЕОГРАД - НОВИ БЕОГРАД,2016-05-26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,1,0,7,0,0,0,0,1,0,28
380,БЕОГРАД - НОВИ БЕОГРАД,2016-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,48,0,0,2,0,4,0,117
381,БЕОГРАД - НОВИ БЕОГРАД,2016-05-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,9,0,19,0,0,4,0,3,0,159
382,БЕОГРАД - НОВИ БЕОГРАД,2016-05-29,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,46,15,0,33,0,0,4,0,15,0,128
383,БЕОГРАД - НОВИ БЕОГРАД,2016-05-30,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,72,4,0,80,0,0,0,0,38,0,32
384,БЕОГРАД - НОВИ БЕОГРАД,2016-05-31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,48,0,0,0,0,15,0,19
385,БЕОГРАД - НОВИ БЕОГРАД,2016-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,11,0,0,0,0,1,0,45
386,БЕОГРАД - НОВИ БЕОГРАД,2016-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,2,0,27
387,БЕОГРАД - НОВИ БЕОГРАД,2016-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,0,0,0,0,0,0,13
388,БЕОГРАД - НОВИ БЕОГРАД,2016-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,36
389,БЕОГРАД - НОВИ БЕОГРАД,2016-06-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,24,0,26
390,БЕОГРАД - НОВИ БЕОГРАД,2016-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,31,0,0,0,0,22,0,28
391,БЕОГРАД - НОВИ БЕОГРАД,2016-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,8,0,15
392,БЕОГРАД - НОВИ БЕОГРАД,2016-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,1,0,21
393,БЕОГРАД - НОВИ БЕОГРАД,2016-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,2,0,17,0,59
394,БЕОГРАД - НОВИ БЕОГРАД,2016-06-10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,26,0,0,0,0,19,0,40
395,БЕОГРАД - НОВИ БЕОГРАД,2016-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,22,0,0,0,0,82,0,43
396,БЕОГРАД - НОВИ БЕОГРАД,2016-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,14,0,0,2,0,34,0,118
397,БЕОГРАД - НОВИ БЕОГРАД,2016-06-13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,21,17,0,0,0,0,60,0,31
398,БЕОГРАД - НОВИ БЕОГРАД,2016-06-14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,13,0,0,1,0,45,0,47
399,БЕОГРАД - НОВИ БЕОГРАД,2016-06-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,23,0,0,0,0,37,0,36
400,БЕОГРАД - НОВИ БЕОГРАД,2016-06-16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,31,0,36,0,0,0,0,78,0,159
401,БЕОГРАД - НОВИ БЕОГРАД,2016-06-17,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,19,88,0,84,0,0,0,0,150,0,181
402,БЕОГРАД - НОВИ БЕОГРАД,2016-06-18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,29,0,22,0,0,0,0,16,0,163
403,БЕОГРАД - НОВИ БЕОГРАД,2016-06-19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18,0,30,0,0,1,0,5,0,48
404,БЕОГРАД - НОВИ БЕОГРАД,2016-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,23,0,0,0,0,2,0,94
405,БЕОГРАД - НОВИ БЕОГРАД,2016-06-21,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,29,0,0,0,0,7,0,110
406,БЕОГРАД - НОВИ БЕОГРАД,2016-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,62,0,0,1,0,5,0,260
407,БЕОГРАД - НОВИ БЕОГРАД,2016-06-23,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,25,78,0,0,0,0,5,0,180
408,БЕОГРАД - НОВИ БЕОГРАД,2016-06-24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,39,93,0,0,0,0,12,0,154
409,БЕОГРАД - НОВИ БЕОГРАД,2016-06-25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,37,45,0,0,1,0,6,0,118
410,БЕОГРАД - НОВИ БЕОГРАД,2016-06-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,31,0,0,0,0,3,0,108
411,БЕОГРАД - НОВИ БЕОГРАД,2016-06-27,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,28,46,0,0,0,0,15,0,68
412,БЕОГРАД - НОВИ БЕОГРАД,2016-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,0,0,0,0,1,0,36
413,БЕОГРАД - НОВИ БЕОГРАД,2016-06-29,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,41,0,0,0,0,4,0,80
414,БЕОГРАД - НОВИ БЕОГРАД,2016-06-30,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,22,0,11,0,0,0,0,0,0,61
415,БЕОГРАД - НОВИ БЕОГРАД,2016-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,50,0,0,0,0,0,0,109
416,БЕОГРАД - НОВИ БЕОГРАД,2016-07-02,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,54,0,0,0,0,0,0,135
417,БЕОГРАД - НОВИ БЕОГРАД,2016-07-03,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,29,0,0,1,0,6,0,70
418,БЕОГРАД - НОВИ БЕОГРАД,2016-07-04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,8,0,0,0,0,1,0,0
419,БЕОГРАД - НОВИ БЕОГРАД,2016-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,11,0,0,0,0,0,0,31
420,БЕОГРАД - НОВИ БЕОГРАД,2016-07-06,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,28,0,28,0,0,0,0,4,0,45
421,БЕОГРАД - НОВИ БЕОГРАД,2016-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,23,0,0,1,0,4,0,90
422,БЕОГРАД - НОВИ БЕОГРАД,2016-07-08,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,19,0,0,2,0,2,0,64
423,БЕОГРАД - НОВИ БЕОГРАД,2016-07-09,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,26,0,33,0,0,0,0,2,0,96
424,БЕОГРАД - НОВИ БЕОГРАД,2016-07-10,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,33,0,35,0,0,2,0,1,0,151
425,БЕОГРАД - НОВИ БЕОГРАД,2016-07-11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,22,0,42,0,0,0,0,1,0,114
426,БЕОГРАД - НОВИ БЕОГРАД,2016-07-12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,227,0,0,0,0,0,0,128
